HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ0S8YX511CSXPYQYKKZR0,A1JN66PXPF1B67,Approved,"Fri May 02 05:49:59 PDT 2008","Fri May 02 05:50:09 PDT 2008","I wish I was bigger where it counts.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ9WDZ5HM0G2PGT79MF3W0,A2RGHKTWO4CSJE,Approved,"Fri May 02 05:52:10 PDT 2008","Fri May 02 05:52:28 PDT 2008","taht the ARC walk is successful",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZSV4802ZMA3MZV44XH1RZ,A350QC2ANDPA6J,Approved,"Fri May 02 05:56:08 PDT 2008","Fri May 02 05:56:16 PDT 2008","My wife would make more money",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZMY7YT2SS3Y1Z7TYSZG20,A10KGNQLL0AL6A,Approved,"Fri May 02 05:58:24 PDT 2008","Fri May 02 05:58:52 PDT 2008","I wish id win the powerball",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ2HXZXPY6RJ08NRZ3SYY0,A3ABBO4ZCTWVVY,Approved,"Fri May 02 06:00:33 PDT 2008","Fri May 02 06:00:55 PDT 2008","I wish the war in Iraq would end peacefully.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ5G3ZSNYV034Z7A8HBZ30,A2CCRSB9Q6135U,Approved,"Fri May 02 06:02:08 PDT 2008","Fri May 02 06:02:29 PDT 2008","I wish for summer temperatures.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZMZAZG3Z2DZJ0HHYBJYAZ,A6B7ZFGFMF83N,Approved,"Fri May 02 06:15:46 PDT 2008","Fri May 02 06:16:00 PDT 2008","For my son to get a good education.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZRA6TYPZEV2YPY2YQWW30,A2VH5LBZ5S5IBL,Approved,"Fri May 02 06:21:13 PDT 2008","Fri May 02 06:21:24 PDT 2008","I wish that wishes came true.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZAYHTPBM6NKYZR9SDQZPZ,A3PKBEWV3JSOLP,Approved,"Fri May 02 06:36:40 PDT 2008","Fri May 02 06:37:18 PDT 2008","I wish I would have kept a journal during life",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ4Y6AWMZJ9ACZREYF4X40,A5TYBSH7AYMK7,Approved,"Fri May 02 06:38:50 PDT 2008","Fri May 02 06:39:02 PDT 2008","I wish for infinite HITS.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ2V7JRBGTP1NZJVZF4RC0,A15MN5MDG4D7Q9,Approved,"Fri May 02 07:14:26 PDT 2008","Fri May 02 07:17:13 PDT 2008","I wish I can kill with my  eyes",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZQRZZ29ZVWA4ZQEYFNG2Z,A3VWKRWUY0PU7Q,Approved,"Fri May 02 07:17:59 PDT 2008","Fri May 02 07:18:28 PDT 2008","I wish that my boyfriend would propose.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ9Z9Z49ZQEGNZQ3CVB0A0,A2XGL6S480Z0RD,Approved,"Fri May 02 07:22:41 PDT 2008","Fri May 02 07:22:48 PDT 2008","I wish I had a new car.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZHW4ZV8YZHTZEXBMMYYTZ,A17HNBZF5A1CWF,Approved,"Fri May 02 07:23:06 PDT 2008","Fri May 02 07:23:26 PDT 2008","I wish Hilary would just concede already.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZBA6Z60NB5JVZMBY9XXH0,AL9K7YMLF1MJX,Approved,"Fri May 02 07:46:08 PDT 2008","Fri May 02 07:46:47 PDT 2008","i would never harm any body",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZAGT8KYZWFSGP3DRJHY20,AHQOZ7XHH9EZC,Approved,"Fri May 02 08:09:22 PDT 2008","Fri May 02 08:09:44 PDT 2008","i wish i had nicer neighbours",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ4KS4SXZWJX3WTJZX4YRZ,A1QKITMJWPIPT2,Approved,"Fri May 02 08:17:32 PDT 2008","Fri May 02 08:17:39 PDT 2008","I wish people didn't die",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZMWPZ66ZCXZWCV807N310,AJVZL5V12QLUT,Approved,"Fri May 02 08:17:07 PDT 2008","Fri May 02 08:20:18 PDT 2008","Be rich, wise, charitable and unselfish.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZSA70NVNEPG8T4SM2VXYZ,A3W01OBO9E5TTC,Approved,"Fri May 02 08:23:30 PDT 2008","Fri May 02 08:23:45 PDT 2008","I wish to go a long drive in car",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZYW7ZY1Y58ZNZ4SYB7WX0,A2M6ON3DU45IEO,Approved,"Fri May 02 08:25:12 PDT 2008","Fri May 02 08:26:04 PDT 2008","I wish I could create an organisation which will help each and every field of people.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZX2DZ701102NZM3SWJXQ0,ACJ2KDGXMI95L,Approved,"Fri May 02 08:29:45 PDT 2008","Fri May 02 08:30:04 PDT 2008","I wish I could afford an LCD monitor.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ1X5ZV0Y5NTZ62TDTYYH0,A335AEG71MJABS,Approved,"Fri May 02 09:12:10 PDT 2008","Fri May 02 09:12:28 PDT 2008","I wish for peace in the Middle East",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZCX9ZSVY3DV3WXFMPZYMZ,A3EQNG4BQVQ70Y,Approved,"Fri May 02 09:42:20 PDT 2008","Fri May 02 09:42:44 PDT 2008","i wish my MIL was happy",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ8J4ZV7YJXW22ZA42JRD0,A29A6WLIDDW4MJ,Approved,"Fri May 02 09:43:15 PDT 2008","Fri May 02 09:43:38 PDT 2008","I wish that Hillary Clinton wins the Democratic nomination.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZE2PZPXDKMVQ8YBYPEY00,A2M9F45EWVYJIZ,Approved,"Fri May 02 10:18:25 PDT 2008","Fri May 02 10:18:46 PDT 2008","I wish to win the lotterary tomorrow.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ71KZZP9D3JFZJJRGRSY0,A36BBHIRNB1RM,Approved,"Fri May 02 10:28:07 PDT 2008","Fri May 02 10:28:26 PDT 2008","i want to be famous.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ4W3ZPPZGYZNZNNC29XQ0,A24SR4X3VTYQDX,Approved,"Fri May 02 10:28:53 PDT 2008","Fri May 02 10:29:06 PDT 2008","I wish my checking account balance was higher",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZYB4ZNBZDBH0MTYY1KX7Z,A1M0SEWUJYX9K0,Approved,"Fri May 02 10:39:20 PDT 2008","Fri May 02 10:39:43 PDT 2008","to be able to pay rent this month.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZ4ZYZQQDC8W04W3M6ZGGZ,A12SMSQ6D5227J,Approved,"Fri May 02 11:32:49 PDT 2008","Fri May 02 11:33:06 PDT 2008","I wish that my brother would get a better job.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZA3SMPJ1AGZ8033RSV2Z0,A1XUURRBT9RYFW,Approved,"Fri May 02 11:42:45 PDT 2008","Fri May 02 11:43:06 PDT 2008","I wish I could be healthy my whole life.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZBY087ZH09REZ4JDG0ZQZ,APOA130JRSXAV,Approved,"Fri May 02 12:32:50 PDT 2008","Fri May 02 12:33:11 PDT 2008","I wish I were skinnier. ",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZV3ZYX0Y31XEZZE14CG0Z,ADLUOM73HTZJ0,Approved,"Fri May 02 15:57:58 PDT 2008","Fri May 02 15:58:12 PDT 2008","get a college degree",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZMWWZTPZMT21Z6DYCY830,A2J8LCKDKFFGJJ,Approved,"Fri May 02 16:39:58 PDT 2008","Fri May 02 16:40:15 PDT 2008","I wish for a new bigger house.",
0HVZ5X908XAZM4SVNXPZ,"Make a short wish"," ",0HVZ5X908XAZM4SVNXPZFSEZ1Z0W9ZNRRHNBPZAZ,A7B3KMBP39QWF,Approved,"Fri May 02 19:21:11 PDT 2008","Fri May 02 19:21:25 PDT 2008","I wish my glasses never got dirty.",
